No,Nama_Produk,Akun,review_text,label
1,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Stephanus,dua kali beli sayang lambat respon order pagi kirim sore respon respon itu kirim besok barang bagus sesuai harga,0
2,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Yati,bagus kirim cepat,1
3,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesan,1
4,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Febby,panas pakai,1
5,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Rahmat,barang sesuai minta bagus komunikasi jual beli pro aktif,0
6,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Alden,bagus masker,1
7,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Heni,pengirimn cepat produk bagus konsumen suka makasih,1
8,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesan kirim cepat,1
9,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,n***l,proses barang jemput kurir banget anjas pokok,0
10,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Antonius,mantabspesan warna hitam putih pink,1
11,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,M***e,kirim cepat sesuai pesan respon jual cepat ramah,1
12,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,R***I,barang terima sesuai pesan aman,1
13,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Frida,tidak ada komentar,1
14,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Renold,kecewa berat masker hijab warna hitam tali masker gampang putus tali masker pendek,0
15,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Roy,kirim sesuai estimasi baik,1
16,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Ridwan,karet headloop nya pendek istri pakai untung anak,0
17,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Fatma,barang bagus hrga murah layan muas,1
18,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,v***a,bagus barang sesuai,1
19,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,A***s,tidak ada komentar,1
20,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Renold,masker medis lumayan cepat tuju harga murah barang murahansmoga masker medis nya manfaat,1
21,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Parama,sesuai pesan packing kirim cepat terima kasih ya,1
22,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,S***l,sesuai harga,1
23,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Galih,kirim cepat barang sesuai,1
24,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Sujatmiko,sesuai pesan sip,1
25,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,A***s,nice one,1
26,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Hae,sesuai pesan,1
27,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,M***i,barang rumah,1
28,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Achmad,proses nya cepat thanks gan,1
29,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,M***r,barang sesuai pesan,1
30,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,s***a,kirim nya cepat barang aman rusa,1
31,Masker Evo PlusMed 4d Medis - Putih,A***i,masker favorite senang beli official store jamin,1
32,Masker Evo PlusMed 4d Medis - Putih,L***a,packingan bagus rapi bubblewrap kirim cepat sesuai janji besok puas,1
33,Masker Evo PlusMed 4d Medis - Putih,cynthia,kualitas okpengiriman cepat bangetdapet cashback,1
34,Masker Evo PlusMed 4d Medis - Putih,B***k,barang sesuai pesan cepat,1
35,Masker Evo PlusMed 4d Medis - Putih,Novi,barang asli evorecomended,1
36,Masker Evo PlusMed 4d Medis - Putih,J***a,pesan masker warna hijau datang warna pink,0
37,Masker Evo PlusMed 4d Medis - Putih,G***i,order emas bagus cepat moga tambah warna cute ya,1
38,Masker Evo PlusMed 4d Medis - Putih,M***i,pilih no masker medis keluarga,1
39,Masker Evo PlusMed 4d Medis - Putih,Felix,packing fisik barang rapi safety terima kasih souvenir nya,1
40,Masker Evo PlusMed 4d Medis - Putih,Celine,bagus,1
41,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,J***a,langgan,1
42,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Rita,suka rapat nyaman banget,1
43,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Y***A,proses cepat respon jual ramah packaging rapi mantaaaaaapp,1
44,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,B***a,good quality percaya,1
45,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Derry,kirim cepat bandung mantap,1
46,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Firdaus,respon cepat packing rapi kirim barang sesuai,1
47,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,N***a,produk asli bungkus plastik segel mahal toko jamin kualitas,1
48,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Denys,bagus,1
49,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,R***z,recomended,1
50,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,A***i,kirim nya cepat,1
51,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Nova,re order sekian kali mantap puas order,1
52,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,A***d,barang terima terima kasih,1
53,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,edduwar,barang baguz cepat,1
54,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Seindah,rugi beli toko rekomended,1
55,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,A***s,tidak ada komentar,1
56,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,David,mantul,1
57,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Anggia,bungkus plastik sealed debu kotor,0
58,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,W***a,sippp beli,1
59,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,M***d,manstap,1
60,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Edwin,barang terima,1
61,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,a***a,baik,1
62,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,dharma,tidak ada komentar,1
63,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Lesmono,warna kalem pakai bini sesuai baju,1
64,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,s***i,tooopp puuaaassss,1
65,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,S***i,barang sesuai pesan bagus kirim,1
66,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Melani,bagus rapi foto langsung pakai tali gampang putus relatif sakit telinga terima kasih ya,1
67,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Darwin,ok,1
68,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,SETIAWAN,packing rapi respon cepat,1
69,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,arief,mantap jiwa moga harga turun,1
70,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,arief,next order,1
71,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,H***k,kualitas bagus abal,1
72,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,d***i,rekomendasi kurir,1
73,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Rizki,langgan beli masker kualitas masker bagus kirim cepat harga affordable thank you,1
74,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Irfan,paket sesuai gambar skripsi kirim cepatrecomended seller,1
75,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Lupir,semenjak wabah landa beli masker medis toko rekomendasi banget terimakasih,1
76,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Mueeza,beda merk brgnya kes mudah an,1
77,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,G***g,order pagi bada isya loh mantap pis terima kasih ya gan sukses lapak moga barokah,1
78,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Agit,box rapi packing rapi barang sesuai gambar seller respon customer,1
79,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,H***k,mantap thanks,1
80,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,S***a,tidak ada komentar,1
81,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Z***i,barang bagus sesuai deskripsimakasih,1
82,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,M***M,order,1
83,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Dimas,original tebal nyaman,1
84,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Endah,ok banget,1
85,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Adhi,tipis sih ragu banding type jenis ply ply,0
86,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,d***a,masker plastik masuk dus,1
87,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,D***g,paket komplit seller fast responramahbarang mantaprekomendasi baik deh belanja mantaf,1
88,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Anggi,oke banget enak pakai cepat,1
89,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,A***s,overall produk ok nyaman pakai seharihari sayang packagingnya kardus penyok sisi segel rapi,1
90,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Wiwit,masker sesuai hari enak pakai mudah napas cuman warna putih banget nerawangnya kayak tipis,1
91,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Iwan,barang kondisi bagus kirim,1
92,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,J***o,barang bagus sesuai deskripsi,1
93,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Rully,barang ok sesuai deskripsi kirim cepat,1
94,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,aan,puas bgtthank seller,1
95,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,M***d,mantap,1
96,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Trian,mantap beli harga turun thanks,1
97,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,L***i,lumayan bagus harga murah,1
98,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Ryan,kirim cepat barang sesuai,1
99,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Hendry,tidak ada komentar,1
100,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Eleonora,kirim cepat admin ramah,1
101,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,i***d,barang sesuai deskripsi kirim cepat banget,1
102,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,J***n,bagus,1
103,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,I***I,kirim cepat respon jual oke,1
104,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Risca,masker tipis ya bunda,0
105,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,ruth,bagusssss murah,1
106,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Nanda,sesuai cepat,1
107,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,ijah,tidak ada komentar,1
108,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Oppie,terima kasih,1
109,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Hargianto,tidak ada komentar,1
110,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Syafaun,layan toko produk bagus,1
111,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,yuyun,baguuussss sesuai rapi kemas,1
112,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,L***a,ukur karet besar muka kadang masker merosot,1
113,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,H***y,bagus boxnya,1
114,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,L***y,ok banget kualitas proses,1
115,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Ridwan,for nonmedical use its ok deskripsi sesuai asli,1
116,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Duarte,kualitas masker jelek masker bolong jahit isi ply kalo jual bos,0
117,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,M***a,size telinga,0
118,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Anandya,masker bagus kecil wajah,1
119,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Leksono,kirim bagus barang sesuai,1
120,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Zihan,lumanyan,1
121,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,w***y,mantap,1
122,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,M,barang cepat estimasi seller responsif packaging oke barang lengkap utuh terima kasih,1
123,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,D***y,mantul fast respon kirim cepat,1
124,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Jack,sesuai foto kualitas bagus banget range harga langgan deh,1
125,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,warham,langgan cuman mesan kemarin lumayan tunda hari kirim,1
126,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,warham,mantap pesan,1
127,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,novaris,respon cepat kirim kilat barang sesuai mantaps,1
128,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,D***t,mantap beli,1
129,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,A***i,proses cepatproduct sesuai,1
130,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,P***t,kirim cepatmakasih,1
131,Masker Kesehatan 3ply Earloop isi 50 pcs,Halalova,kirim cepat barang bagus,1
132,Masker Kesehatan 3ply Earloop isi 50 pcs,H***y,barang selamat packing rapi kirim cepat kurrir ramah seller fast respon recommended pokok nya,1
133,Masker Kesehatan 3ply Earloop isi 50 pcs,Anggit,langgan masker mantap,1
134,Masker Kesehatan 3ply Earloop isi 50 pcs,HARIS,barang mantap respon cepattoko recommended belanja pesan langusng dikirimbelanja nya,1
135,Masker Kesehatan 3ply Earloop isi 50 pcs,G***u,fast respon order jm sore langsung kirim pakai gosend,1
136,Masker Kesehatan 3ply Earloop isi 50 pcs,FAJARNO,belanja pokok mantap,1
137,Masker Kesehatan 3ply Earloop isi 50 pcs,S***n,mantap kali,1
138,Masker Kesehatan 3ply Earloop isi 50 pcs,sugiarti,kirim cepat bareng sesuai pic tq,1
139,Masker Kesehatan 3ply Earloop isi 50 pcs,Kadek,good,1
140,Masker Kesehatan 3ply Earloop isi 50 pcs,John,barang sesuai tawar,1
141,Masker Karet Pink OneMed box 50pcs,H***l,proses cepat barang sesuai deskripsi packing box bubble wrap,1
142,Masker Karet Pink OneMed box 50pcs,Y***a,kali beli mantap cepat,1
143,Masker Karet Pink OneMed box 50pcs,R***s,emas bagus banget sip terima kasih,1
144,Masker Karet Pink OneMed box 50pcs,N***h,kaliny beli kirim cepat barang oke segel on recommended,1
145,Masker Karet Pink OneMed box 50pcs,M***r,admin nya ramah ditanyain ditawarin cancel barang kalo produk sih bagus orisinal aman toko keramean kali ya nya suruh cancel konsumen nya jual tingkat service nya,1
146,Masker Karet Pink OneMed box 50pcs,Enjel,bagus sip,1
147,Masker Karet Pink OneMed box 50pcs,H***o,fast respon packaging bagus tq,1
148,Masker Karet Pink OneMed box 50pcs,Dwi,puass banget masker onemed kualitas,1
149,Masker Karet Pink OneMed box 50pcs,M***t,late delivery brng ok,1
150,Masker Karet Pink OneMed box 50pcs,reredyah,sesuai,1
151,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,r***n,emas cepat masker andal pesawat bonus masker lumayan thank you seller,1
152,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,Moedji,barang bagus packingnya topmarkotop alias mantul puas minggu beli bonus tambah ya thanks,1
153,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,r***n,barang cepat recommended seller masker kf mmasker nya ketat aman sakit telinga pakai jam thankyou bonus seller,1
154,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,L***a,niattt banget vacum beli suka banget,1
155,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,r***n,cepat toko percaya beli masker mmakasih bonus pouch masker,1
156,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,Dhita,beli kali packing mantab masker asli tani terbang jam sukses sehat,1
157,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,S***l,ok,1
158,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,A***i,beda pesan nampaknya import china bonus beli auto star thank youu gann,1
159,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,M***l,pesan cepat proses sayang kurir banget packing rapi aman free pouch masker terima kasih,1
160,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,Bambang,very fast response barang ok banget good job,1
161,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Arif,mantab bosssku terimakasih,1
162,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Reza,sesuai pict barang bagus,1
163,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Syahrul,masker terima terima kasih,1
164,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Bayu,belanja toko cepat kirim packing rapi kualitas barang sesuai deskripsi,1
165,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Alam,murah murah cucu suka pakai nya,1
166,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,NURHASANAH,fast respon kirim cepat sayang box khusus hijab penyok penyok sobek kasih note terang box lipat sajakrn jual pakai bagus box nya,0
167,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Y***a,bareng sesuai,1
168,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Andi,cepat dkrm dterima kondisi bagus packing bagus rapi cepat everything is good puassssss deh puas,1
169,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Chandra,produk bagus sesuai pesan thanks,1
170,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Jhon,pesan box hijab box model hijab,0
171,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Luke,masak debu masuk masker hari,0
172,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Densi,tipis banding,1
173,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,H***h,tipis banget masker beda onemed warna putih tipis,0
174,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Shandyka,quantitas sesuai pesan kemas box langsung masker masker bungkus plastik enak pakai masker terimakasih layan cepat,1
175,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,D,jossss wes,1
176,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Astri,bagus barang segel utuh bubble wrap kasih biar aman isi nytrima kasih,1
177,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Suci,kali beli masker puas kirim barang recomended,1
178,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Rani,tidak ada komentar,1
179,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Cipta,seller bintang,1
180,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Dafit,barang terima kasih,1
181,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Andy,olshop percaya barang sesuai pesan,1
182,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Ineu,bagussssss,1
183,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,N***i,okeeee thankyou seller,1
184,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Javirus,sesuai pcs pengirimn cepat terima kasih seller,1
185,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Wahyu,siiiip,1
186,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Muji,proses puas barang kirim,1
187,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,s***y,bonus,1
188,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,T***r,cepat mantap,1
189,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,widhi,cepat kirim,1
190,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Senny,tidak ada komentar,1
191,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Heri,alhamdulillah sesuai pesan barang bagus,1
192,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Toni,barang sesuai peaanan,1
193,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,M***r,cerita beli pcs dikotakin kes bunafit ply sayang kwalitas premium,0
194,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,R***n,brng nya dngn sesuai pesan bahan nya bagus sek napas nya makasihhhh,1
195,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,AFRODI,masker lumayan bagus besi tempel maksimal,1
196,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Melina,beli kedau barang ok,1
197,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Alex,cepat komplit top,1
198,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Aris,mantulll,1
199,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Sekardewi,pesan plastik masker plastik masker masker,0
200,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Endang,kirim cepat barang sesuai foto kurir ramah,1
201,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Usep,okeeehhh,1
202,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Stephanus,dua kali beli sayang lambat respon order pagi kirim sore respon respon itu kirim besok barang bagus sesuai harga,0
